FrameTimeMillis,MemoryUsageBytes,Technique
69.8602,791912,CullingDebugWorld
16.0333,1185880,CullingDebugWorld
14.6602,1188696,CullingDebugWorld
7.644,1190704,CullingDebugWorld
64.7186,1192616,CullingDebugWorld
69.799,1194752,CullingDebugWorld
70.2019,1625152,CullingDebugWorld
15.8449,1627744,CullingDebugWorld
7.4326,1629848,CullingDebugWorld
55.9019,1632256,CullingDebugWorld
65.512,1633912,CullingDebugWorld
68.9685,1636048,CullingDebugWorld
67.715,2066592,CullingDebugWorld
15.4039,2069152,CullingDebugWorld
7.3006,2071240,CullingDebugWorld
56.2448,2073624,CullingDebugWorld
67.0067,2075296,CullingDebugWorld
69.5285,2241448,CullingDebugWorld
20.9093,2410224,CullingDebugWorld
12.9418,2412136,CullingDebugWorld
8.0474,2414144,CullingDebugWorld
56.9662,2415960,CullingDebugWorld
69.4735,2418192,CullingDebugWorld
69.5908,2578224,CullingDebugWorld
17.9373,2586216,CullingDebugWorld
9.673699,2588384,CullingDebugWorld
7.5537,2590392,CullingDebugWorld
60.2084,2592304,CullingDebugWorld
57.2117,2594248,CullingDebugWorld
56.8804,2596320,CullingDebugWorld
57.5348,2762152,CullingDebugWorld
11.0649,2928624,CullingDebugWorld
10.1848,3094840,CullingDebugWorld
10.66,3260896,CullingDebugWorld
10.203,3263064,CullingDebugWorld
7.7174,3265072,CullingDebugWorld
7.5391,3267080,CullingDebugWorld
7.3282,3269088,CullingDebugWorld
7.5733,3271128,CullingDebugWorld
55.7687,3273040,CullingDebugWorld
56.5137,3663528,CullingDebugWorld
11.8043,3830152,CullingDebugWorld
10.6383,3996976,CullingDebugWorld
10.4548,3999280,CullingDebugWorld
8.368999,4001288,CullingDebugWorld
7.522,4003296,CullingDebugWorld
7.5592,4005336,CullingDebugWorld
7.6883,4007376,CullingDebugWorld
62.527,4173000,CullingDebugWorld
11.6263,4339360,CullingDebugWorld
10.4708,4729568,CullingDebugWorld
11.8488,5120704,CullingDebugWorld
11.8145,5128000,CullingDebugWorld
7.883,5130040,CullingDebugWorld
7.5628,5130160,CullingDebugWorld
13.2981,4919216,CullingDebugWorld
7.7228,4921224,CullingDebugWorld
55.4729,4922768,CullingDebugWorld
56.8334,5313120,CullingDebugWorld
12.6597,5704632,CullingDebugWorld
11.9822,6095392,CullingDebugWorld
11.7017,6098728,CullingDebugWorld
7.895,6100768,CullingDebugWorld
7.213,6102536,CullingDebugWorld
7.1043,6104576,CullingDebugWorld
7.0676,6106584,CullingDebugWorld
55.7322,6272960,CullingDebugWorld
11.3925,6438920,CullingDebugWorld
10.4454,6440928,CullingDebugWorld
56.2658,6606224,CullingDebugWorld
10.8991,6772280,CullingDebugWorld
10.3258,6773992,CullingDebugWorld
7.937,6776000,CullingDebugWorld
7.4516,6778536,CullingDebugWorld
